seed,path,layer,matrix_shape,matrix_rows,matrix_cols,elements,frobenius_norm,spectral_norm,stable_rank,effective_rank_entropy,rank_90_energy,rank_95_energy,rank_99_energy,rank_995_energy,rank_999_energy,rank_384_relative_error,rank_320_relative_error,rank_256_relative_error,rank_192_relative_error,rank_160_relative_error,rank_128_relative_error,rank_96_relative_error,rank_64_relative_error
seed1,layers.m_proj_w,10,"[512, 1024]",512,1024,524288,59.2084155406,8.10004416467,53.4308526546,301.439534458,295,362,459,480,504,0.1946215828,0.279516393899,0.37268120876,0.476777599158,0.534105121497,0.595722705489,0.663270264605,0.739772934242
seed1,layers.m_proj_w,11,"[512, 1024]",512,1024,524288,59.9816456171,7.31570719319,67.2239648824,308.687554584,292,360,458,480,504,0.19241444035,0.276734654968,0.369616429875,0.474004219165,0.531859733384,0.594801838541,0.664986943118,0.74612696574
seed2,layers.m_wk,0,"[512, 512]",512,512,262144,38.0598012804,14.9633937868,6.4695313581,26.0660421566,23,74,244,297,386,0.0320032858526,0.0592949502116,0.092636839273,0.131919390898,0.153861115359,0.177701419066,0.20383959233,0.233026565023
seed2,layers.m_wk,1,"[512, 512]",512,512,262144,40.4412938959,15.6179746204,6.70502897241,31.863784184,33,79,234,287,377,0.0288590185366,0.0547382200408,0.0871883868897,0.126658969887,0.149569415445,0.175339858771,0.205030403747,0.243282943697
seed2,layers.m_wk,2,"[512, 512]",512,512,262144,42.4535694653,14.9607070852,8.05237853659,36.8413629414,34,77,233,287,378,0.0293573721985,0.0548869187414,0.0867915393728,0.125673969666,0.148232976399,0.173332419725,0.202659980082,0.240174318135
seed2,layers.m_wk,3,"[512, 512]",512,512,262144,42.4599667569,14.1358135493,9.02230871473,43.8854956674,42,81,222,275,366,0.0253517679794,0.0493720186512,0.0803822561794,0.119419727086,0.142939582631,0.170301122842,0.203894136166,0.252246230388
seed2,layers.m_wk,4,"[512, 512]",512,512,262144,41.7773217017,23.1141621401,3.26681753426,25.2675728488,35,70,204,258,354,0.0223733552397,0.0434887560464,0.0712050257663,0.107128249752,0.129121452996,0.154924543655,0.187086689559,0.232740799188
seed2,layers.m_wk,5,"[512, 512]",512,512,262144,43.225411957,15.1122049205,8.18130557521,55.0028798601,55,93,217,267,357,0.022910531435,0.045683521944,0.0764045422901,0.117294309905,0.14318158468,0.174975639675,0.217874722874,0.286228880157
seed2,layers.m_wk,6,"[512, 512]",512,512,262144,42.3227897748,14.7867998213,8.19219322476,49.4412687321,54,99,233,283,372,0.0273372666806,0.0525533486944,0.0857015650753,0.128710379689,0.155095711669,0.186913107926,0.226873903699,0.28629572597
seed2,layers.m_wk,7,"[512, 512]",512,512,262144,44.4308138539,13.9654280175,10.1218532285,51.6276960848,52,93,224,274,364,0.0247001254675,0.0485470911814,0.0801124191426,0.121741958909,0.147436267989,0.178410332159,0.218412658653,0.278716942459
seed2,layers.m_wk,8,"[512, 512]",512,512,262144,46.992032935,10.3555940565,20.5919953728,100.943601659,86,124,245,293,378,0.0291506628982,0.0564458854707,0.0926039784203,0.141220375722,0.173680281047,0.216905135935,0.284243401008,0.405542339452
seed2,layers.m_wk,9,"[512, 512]",512,512,262144,44.3116846421,14.3337258231,9.55692849754,45.5238120244,42,78,217,270,364,0.0249290917934,0.047809047053,0.0777565997458,0.115790399199,0.138779768266,0.165654392856,0.198584724937,0.247302515031
seed2,layers.m_wk,10,"[512, 512]",512,512,262144,43.2795894886,12.8907856368,11.2721690309,67.7559664687,66,109,235,285,373,0.0274885983498,0.0530449948984,0.0866712008256,0.13148099967,0.160217605006,0.195993384317,0.244423798315,0.321932323152
seed2,layers.m_wk,11,"[512, 512]",512,512,262144,45.4397181905,14.9853730717,9.194669846,68.7311739068,67,110,239,288,375,0.0282742285222,0.0544177055305,0.0887700975895,0.133940924064,0.162419762676,0.197976936861,0.245830252154,0.325716238827
seed2,layers.m_wq,0,"[512, 512]",512,512,262144,36.8594930206,17.0652535909,4.66523174679,21.2065543218,20,78,247,300,387,0.0327022680629,0.0605888738019,0.0946285716328,0.134592778615,0.157030866901,0.181275051652,0.207592329935,0.236538763936
seed2,layers.m_wq,1,"[512, 512]",512,512,262144,39.5306057995,18.7340997173,4.45247289847,26.1044124591,30,85,248,300,387,0.0325825884196,0.0605822751815,0.0948045074938,0.135050380687,0.158038708427,0.183380605569,0.211776472252,0.246413504462
seed2,layers.m_wq,2,"[512, 512]",512,512,262144,42.0803656919,17.6112127455,5.70926870951,30.6837094623,30,73,237,291,381,0.0302966628466,0.0566771633274,0.0887642412118,0.12686710873,0.148521434832,0.172373762608,0.199629460426,0.233231617605
seed2,layers.m_wq,3,"[512, 512]",512,512,262144,41.6335074676,16.4868438753,6.376919719,36.9966217054,38,85,245,298,385,0.0319318986868,0.0593724288961,0.0931310460194,0.133356555444,0.156403037602,0.1818493728,0.211557334192,0.250922836883
