seed,family,layer,parameter_path,shape,dtype,elements,numerical_rank,stable_rank,effective_rank_entropy,largest_singular_value,smallest_singular_value,spectral_norm,frobenius_norm,condition_number,rank_384_energy_fraction,rank_384_energy_percent,rank_384_relative_frobenius_error,rank_320_energy_fraction,rank_320_energy_percent,rank_320_relative_frobenius_error,rank_256_energy_fraction,rank_256_energy_percent,rank_256_relative_frobenius_error,rank_192_energy_fraction,rank_192_energy_percent,rank_192_relative_frobenius_error,rank_160_energy_fraction,rank_160_energy_percent,rank_160_relative_frobenius_error,rank_128_energy_fraction,rank_128_energy_percent,rank_128_relative_frobenius_error,rank_96_energy_fraction,rank_96_energy_percent,rank_96_relative_frobenius_error,rank_64_energy_fraction,rank_64_energy_percent,rank_64_relative_frobenius_error
seed2,m_wq,5,layers.m_wq[5],512x512,float64,262144,512,6.774281107521703,51.95793472590287,16.366620359546175,0.0013363671766663434,16.366620359546175,42.59813796359065,12247.098436205082,0.9990128804850326,99.90128804850326,0.03141845818889651,0.9965602318014516,99.65602318014516,0.05864953707019698,0.991466326752949,99.1466326752949,0.09237788288898491,0.9818690178494702,98.18690178494703,0.13465133549478733,0.9744050716498246,97.44050716498246,0.15998415030925847,0.9638932959004333,96.38932959004333,0.19001764154826975,0.9475717414155554,94.75717414155554,0.2289721786253617,0.9157159800747896,91.57159800747895,0.29031710236431196
seed2,m_wq,6,layers.m_wq[6],512x512,float64,262144,512,5.706811737010344,42.9402239302228,17.427393840990007,1.4706384613718825e-05,17.427393840990007,41.63218634642659,1185022.3082519474,0.9990300673749203,99.90300673749203,0.031143741346853573,0.9966116782257626,99.66116782257626,0.05820929285120567,0.9914684917054712,99.14684917054713,0.09236616422981284,0.9818717357292506,98.18717357292506,0.1346412428297861,0.974476113474414,97.4476113474414,0.15976196833284828,0.9642134170642673,96.42134170642673,0.1891734202675753,0.9488213175030806,94.88213175030806,0.22622705960366318,0.9215096674602082,92.15096674602083,0.28016126166868927
seed2,m_wq,7,layers.m_wq[7],512x512,float64,262144,512,5.681286354653224,42.153241062353615,18.278766292660976,0.0012066645697633015,18.278766292660976,43.568260421856394,15148.17518529323,0.9990711648207488,99.90711648207487,0.03047679739164274,0.9967627864723824,99.67627864723823,0.05689651595324298,0.9919196126018166,99.19196126018166,0.08989097506526113,0.9829932147136342,98.29932147136343,0.13041006589357199,0.9761190884417618,97.61190884417617,0.15453449957287285,0.9666255094970546,96.66255094970546,0.1826868646152355,0.9525572887421405,95.25572887421406,0.2178134781363621,0.9276963818844699,92.76963818844699,0.26889332106902564
seed2,m_wq,8,layers.m_wq[8],512x512,float64,262144,512,21.820927217438413,96.42742909708916,10.021786986595917,0.0005208809432986592,10.021786986595917,46.81464861045173,19240.072257451917,0.9990988593909212,99.90988593909212,0.03001900413202867,0.996791657821294,99.6791657821294,0.05664222964101983,0.9918134464409296,99.18134464409296,0.09047957536964012,0.981706502859255,98.1706502859255,0.1352534551896735,0.9728022974878434,97.28022974878434,0.16491725959449055,0.9579610683939067,95.79610683939067,0.20503397671140577,0.9278709021458083,92.78709021458083,0.2685686092122304,0.850671828849739,85.0671828849739,0.38643003396509046
seed2,m_wq,9,layers.m_wq[9],512x512,float64,262144,512,6.192354165968191,43.3463722020265,17.692505611866462,0.00154180249375071,17.692505611866462,44.026811656052224,11475.208843920263,0.9991202279540079,99.91202279540079,0.029660951535513826,0.9969051250828483,99.69051250828484,0.055631599987342246,0.9923195134829536,99.23195134829535,0.08763838495229387,0.9839456394996873,98.39456394996873,0.12670580294648198,0.9776150491486402,97.76150491486402,0.14961601134691377,0.969025467659097,96.9025467659097,0.17599583046453962,0.9566591787329567,95.66591787329567,0.20818458460472838,0.9344489437323059,93.4448943732306,0.256029405084053
seed2,m_wq,10,layers.m_wq[10],512x512,float64,262144,512,10.310840523292827,63.50422805305989,13.317641274659408,0.0005709494233555828,13.317641274659408,42.76360874016047,23325.430817302513,0.9989895445022905,99.89895445022906,0.0317876626650892,0.9964502354744098,99.64502354744099,0.0595799003489448,0.9910604526315903,99.10604526315903,0.09454917962843326,0.9808098110663236,98.08098110663236,0.13852865744558565,0.9725397004533944,97.25397004533944,0.16571149491391826,0.9604311654031755,96.04311654031756,0.19891916598665016,0.9407162054074435,94.07162054074435,0.24348263714802437,0.9010295678983051,90.10295678983051,0.3145956644674158
seed2,m_wq,11,layers.m_wq[11],512x512,float64,262144,512,9.642989954363568,63.84168855369544,14.505240664055924,0.000879416886290135,14.505240664055924,45.04336174398989,16494.15753801024,0.9991287994515982,99.91287994515982,0.02951610659287299,0.9969482612516751,99.69482612516751,0.05524254473071342,0.9922402656987316,99.22402656987316,0.08808935407453285,0.983095970645928,98.30959706459281,0.1300154965920293,0.9756307950023698,97.56307950023698,0.1561063899961503,0.9643930447283605,96.43930447283606,0.18869805317395166,0.9457092677392815,94.57092677392815,0.23300371726802654,0.9041566663106225,90.41566663106225,0.30958574529421967
seed2,m_wk,0,layers.m_wk[0],512x512,float64,262144,512,6.469531358095523,26.066042156582522,14.963393786758544,0.001277967651414424,14.963393786758544,38.0598012804267,11708.742212838813,0.9989757896946361,99.89757896946361,0.03200328585261092,0.9964841088794043,99.64841088794043,0.05929495021159638,0.991418416009505,99.1418416009505,0.09263683927301829,0.9825972743051922,98.25972743051922,0.13191939089765323,0.9763267571805718,97.63267571805719,0.15386111535871622,0.9684222056618763,96.84222056618763,0.17770141906615064,0.9584494205987351,95.8449420598735,0.20383959233001067,0.9456986199935485,94.56986199935486,0.23302656502307084
seed2,m_wk,1,layers.m_wk[1],512x512,float64,262144,512,6.705028972410273,31.863784183956852,15.617974620437167,0.0006816944473373592,15.617974620437167,40.44129389594579,22910.520514637687,0.9991671570491024,99.91671570491025,0.028859018536630508,0.9970037272667699,99.70037272667699,0.05473822004075498,0.9923981851915805,99.23981851915805,0.0871883868896511,0.9839575053472612,98.39575053472612,0.1266589698866163,0.9776289899633867,97.76289899633866,0.14956941544518165,0.969255933926138,96.92559339261379,0.17533985877107933,0.9579625335393981,95.7962533539398,0.20503040374686363,0.9408134093062829,94.08134093062829,0.24328294369667003
seed2,m_wk,2,layers.m_wk[2],512x512,float64,262144,512,8.052378536591656,36.84136294137753,14.960707085174073,0.0001814765406960454,14.960707085174073,42.45356946533228,82438.79361923547,0.9991381446975987,99.91381446975987,0.029357372198501496,0.9969874261510792,99.69874261510792,0.05488691874136169,0.9924672286932945,99.24672286932945,0.08679153937282993,0.9842060533482754,98.42060533482754,0.12567396966645328,0.9780269847077959,97.80269847077959,0.14823297639932917,0.9699558722721504,96.99558722721504,0.17333241972536353,0.9589289324729721,95.89289324729721,0.20265998008247196,0.9423162969085026,94.23162969085026,0.240174318134761
seed2,m_wk,3,layers.m_wk[3],512x512,float64,262144,512,9.022308714730777,43.88549566739734,14.135813549288136,0.00037780637416288195,14.135813549288136,42.45996675694806,37415.49776816054,0.9993572878603206,99.93572878603206,0.0253517679793613,0.9975624037743019,99.75624037743019,0.04937201865123663,0.9935386928915096,99.35386928915096,0.08038225617939793,0.9857389287826253,98.57389287826253,0.11941972708633504,0.9795682757173879,97.95682757173878,0.14293958263060685,0.9709975275588313,97.09975275588313,0.17030112284177318,0.95842718123704,95.842718123704,0.20389413616619786,0.9363718392548493,93.63718392548493,0.2522462303883859
seed2,m_wk,4,layers.m_wk[4],512x512,float64,262144,512,3.266817534260861,25.2675728487847,23.11416214009045,0.0001227303665998878,23.11416214009045,41.77732170165886,188332.86969185653,0.9994994329753167,99.94994329753168,0.022373355239732433,0.998108728097538,99.8108728097538,0.043488756046384754,0.9949298443056269,99.49298443056269,0.07120502576625529,0.988523538105112,98.85235381051119,0.10712824975181871,0.9833276503762073,98.33276503762073,0.1291214529959786,0.9759983857733292,97.59983857733292,0.1549245436548735,0.9649985705897013,96.49985705897012,0.1870866895594091,0.945831720393102,94.5831720393102,0.232740799188492
